0;1
meu deus , a defendendo a reforma da previdencia , que lixo meu deus . a radiacao foi pesada agora .;0
em defesa de seus altos salarios e altas e beneficas aposentadorias , politicos do calendario maia deturpam a reform ... ;1
perceberam que os isentoes dentro da grande midia que vivem criticando o governo por nao ter carater liberal na eco ... ;0
a reforma da previdencia vai enriquecer banqueiros e empobrecer os trabalhadores . nao exist ... ;0
dia30euvou pela reforma da previdencia do ministro paulo guedes e pelo pacote anticrime do ministro sergio moro !;1
deputados garantem a propria aposentadoria com emenda na reforma da previdencia ;0
tudo uns filho da puta queremos a reforma da previdencia de paulo guedes canalhas !!! ;1
esse senhor quer aplicar o mesmo golpe , que o fernando henrique cardoso fez no passado , que apropriou a paternidade ... ;0
a reforma da previdencia do paulo guedes e do governo bolsonaro quer , em verdade , transferir renda dos mais pobres ... ;0
tem que parar de ser ingenuo . ha um claro objetivo politico de desestabilizar tudo , parar a lava jato e impedir a ... ;1
meu chefe e a favor da reforma da previdencia e esta ouvindo o radio dos militares d e c e p c i o n a d a ;0
o congresso quer deformar a reforma da previdencia e o tem a cara de pau de dizer que foi a sociedade... ;1
a quem acredita que a reforma vai ser para todos .... ;0
reformadeumtrilhao queremos a reforma da previdencia do paulo guedes aprovada na integra , com a economia de mais de 1 trilhao .;1
brasil cada vez mais afundando numa recessao profunda . e o rodrigo maia faz beicinho e vira o pescocinho para a ref ... ;1
nhonho ta todo irritadinho com paulo guedes , o centrao nao quer 100 % da reforma da previdencia porque , segundo o ce ... ;1
senhores deputados e relator da reforma da previdencia tenho 3 netas 16 , 12 e 2 aninhos , faco o que posso por ela ... ;0
reforma da previdencia ameaca a aposentadoria dos vagabundos . ta explicado por que esse filhote de jabba comecou a ... ;1
esse rodrigo maia quer fazer a reforma da previdencia do seu jeito . nao quer o melhor para a populacao . a reforma d ... ;1
dia 30 /06 novamente cwb lutando pelo brasil e pela lava jato .- reforma da previdencia (do guedes ).- pacote anti;1
reforma da previdencia tem que ser a do guedes ! ;1
uma reforma da previdencia dr r $1.000.000.000.000,00 e o minimo para erguer o aviao da economia brasileira.por ou;1
reformadeumtrilhao nos queremos a reforma da previdencia de paulo guedes de trilhao !;1
rodrigo maia esta sabotando a nova previdencia . queremos a reforma do ministro paulo guedes;1
sem reforma da previdencia o pais nao ira recuperar-se deste quadro de enfraquecimento economico . as pessoas contin ... ;1
eu apoio a reforma da previdencia . ;1
so e contra a reforma da previdencia do guedes , os que sao altamente privilegiados e ganham muitissimo acima da gra ... ;1
fica facil votar uma reforma da previdencia quando voce nao e atingido por ela;0
